filename,binary_name,primary_path,categories,mitre_ids,risk,description
7z,7z,/usr/bin/7z,file-read,T1005,low,GTFOBins: 7z can be used for file-read
aa-exec,aa-exec,/usr/bin/aa-exec,shell,T1059,medium,GTFOBins: aa-exec can be used for shell
ab,ab,/usr/bin/ab,download|upload,T1048|T1105,medium,GTFOBins: ab can be used for download; upload
acr,acr,/usr/bin/acr,command,T1059,medium,GTFOBins: acr can be used for command
agetty,agetty,/usr/bin/agetty,shell,T1059,medium,GTFOBins: agetty can be used for shell
alpine,alpine,/usr/bin/alpine,file-read,T1005,low,GTFOBins: alpine can be used for file-read
ansible-playbook,ansible-playbook,/usr/bin/ansible-playbook,shell,T1059,medium,GTFOBins: ansible-playbook can be used for shell
ansible-test,ansible-test,/usr/bin/ansible-test,shell,T1059,medium,GTFOBins: ansible-test can be used for shell
aoss,aoss,/usr/bin/aoss,shell,T1059,medium,GTFOBins: aoss can be used for shell
apache2,apache2,/usr/bin/apache2,file-read,T1005,low,GTFOBins: apache2 can be used for file-read
apache2ctl,apache2ctl,/usr/bin/apache2ctl,file-read,T1005,low,GTFOBins: apache2ctl can be used for file-read
apport-cli,apport-cli,/usr/bin/apport-cli,inherit,T1059,medium,GTFOBins: apport-cli can be used for inherit
apt,apt,/usr/bin/apt,inherit|shell,T1059,medium,GTFOBins: apt can be used for inherit; shell
apt-get,apt-get,/usr/bin/apt-get,inherit|shell,T1059,medium,GTFOBins: apt-get can be used for inherit; shell
aptitude,aptitude,/usr/bin/aptitude,inherit,T1059,medium,GTFOBins: aptitude can be used for inherit
ar,ar,/usr/bin/ar,file-read,T1005,low,GTFOBins: ar can be used for file-read
arch-nspawn,arch-nspawn,/usr/bin/arch-nspawn,shell,T1059,medium,GTFOBins: arch-nspawn can be used for shell
aria2c,aria2c,/usr/bin/aria2c,command|download|file-read,T1005|T1059|T1105,medium,GTFOBins: aria2c can be used for command; download; file-read
arj,arj,/usr/bin/arj,file-read|file-write,T1005|T1565.001,medium,GTFOBins: arj can be used for file-read; file-write
arp,arp,/usr/bin/arp,file-read,T1005,low,GTFOBins: arp can be used for file-read
as,as,/usr/bin/as,file-read,T1005,low,GTFOBins: as can be used for file-read
ascii-xfr,ascii-xfr,/usr/bin/ascii-xfr,file-read,T1005,low,GTFOBins: ascii-xfr can be used for file-read
ascii85,ascii85,/usr/bin/ascii85,file-read,T1005,low,GTFOBins: ascii85 can be used for file-read
ash,ash,/usr/bin/ash,file-write|shell,T1059|T1565.001,medium,GTFOBins: ash can be used for file-write; shell
aspell,aspell,/usr/bin/aspell,file-read,T1005,low,GTFOBins: aspell can be used for file-read
asterisk,asterisk,/usr/bin/asterisk,shell,T1059,medium,GTFOBins: asterisk can be used for shell
at,at,/usr/bin/at,command|shell,T1059,medium,GTFOBins: at can be used for command; shell
atobm,atobm,/usr/bin/atobm,file-read,T1005,low,GTFOBins: atobm can be used for file-read
autoconf,autoconf,/usr/bin/autoconf,shell,T1059,medium,GTFOBins: autoconf can be used for shell
autoheader,autoheader,/usr/bin/autoheader,shell,T1059,medium,GTFOBins: autoheader can be used for shell
